mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
coro,4,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.013333,55.710000,54.860000,556.940000,560.786667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p3_cpu_heavy
coro,4,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.030000,164.920000,164.810000,381.580000,382.733333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p4_io_heavy_high_conc
coro,4,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.030000,81.150000,80.630000,1.110000,1.116667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p5_stress_mix
coro,4,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.020000,12.026667,165.650000,165.190000,377.920000,379.606667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p6_ultra_io_bound
ws,4,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.010000,125.890000,125.726667,125.830000,125.936667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p1_light_cpu_heavy_io
ws,4,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,75.220000,75.036667,416.020000,416.770000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p2_balanced
ws,4,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.016667,56.540000,56.186667,549.580000,553.150000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p3_cpu_heavy
ws,4,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.026667,118.390000,118.260000,527.470000,528.040000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p4_io_heavy_high_conc
ws,4,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.033333,79.770000,79.366667,1.140000,1.146667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p5_stress_mix
ws,4,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,90.530000,90.456667,684.610000,685.860000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t4_p6_ultra_io_bound
